lat,lon,accuracy,f1_macro,f1_weighted,mcc,balanced_accuracy,n_samples,f1_class0,f1_class1,f1_class2,f1_class3,f1_class4
10.75,78.5,0.7291666666666666,0.2868809272918862,0.7861180628732,0.3850637423481968,0.5451219512195122,48,0.8767123287671232,0.3076923076923077,0.25,0.0,0.0
10.75,78.75,0.7708333333333334,0.23875365141187926,0.8073677377474846,0.2727915305319253,0.41111111111111115,48,0.8860759493670886,0.3076923076923077,0.0,0.0,0.0
10.75,79.0,0.8958333333333334,0.6512345679012346,0.9169238683127571,0.6731985940507924,0.9612403100775193,48,0.9382716049382716,0.6666666666666666,0.0,0.0,1.0
10.75,79.25,0.8333333333333334,0.25809312638580933,0.8530118255728013,0.38787376667189377,0.3875968992248062,48,0.926829268292683,0.36363636363636365,0.0,0.0,0.0
10.75,79.5,0.8541666666666666,0.27024390243902435,0.8656504065040651,0.4484196503278667,0.35714285714285715,48,0.9512195121951219,0.4,0.0,0.0,0.0
10.75,79.75,0.9375,0.49746835443037973,0.9408403656821379,0.7994609371827909,0.7020833333333334,48,0.9873417721518988,0.8333333333333334,0.6666666666666666,0.0,0.0
11.0,76.0,0.7708333333333334,0.4791044776119403,0.7324315920398009,0.5396110745289374,0.4875000000000001,48,0.8955223880597015,0.6666666666666666,0.3333333333333333,0.0,0.5
11.0,76.25,0.8125,0.6037720488466757,0.8112618724559023,0.6170391636953766,0.573939393939394,48,0.9552238805970149,0.36363636363636365,0.5,0.4,0.8
11.0,76.5,0.75,0.4141552511415525,0.7475266362252664,0.385694607919935,0.3833333333333333,48,0.9041095890410958,0.0,0.0,0.5,0.6666666666666666
11.0,76.75,0.7083333333333334,0.36901960784313725,0.7203839869281046,0.39219453700598245,0.3571428571428571,48,0.9117647058823529,0.26666666666666666,0.0,0.0,0.6666666666666666
11.0,77.0,0.7083333333333334,0.40724637681159415,0.7466787439613526,0.38200739291433355,0.41216216216216217,48,0.8695652173913043,0.16666666666666666,0.3333333333333333,0.0,0.6666666666666666
11.0,77.25,0.8541666666666666,0.6,0.8597222222222222,0.6145464412524381,0.6948198198198199,48,0.9333333333333333,0.4,1.0,0.0,0.6666666666666666
11.0,77.5,0.8125,0.4094248094248094,0.8172210672210672,0.5175100746922268,0.432280701754386,48,0.918918918918919,0.46153846153846156,0.6666666666666666,0.0,0.0
11.0,77.75,0.6875,0.22798122065727697,0.7499217527386541,0.32029752052829624,0.255,48,0.8732394366197183,0.26666666666666666,0.0,0.0,0.0
11.0,78.0,0.6666666666666666,0.21901408450704224,0.7478726525821596,0.2917571297546509,0.3772357723577236,48,0.8450704225352113,0.25,0.0,0.0,0.0
11.0,78.25,0.7291666666666666,0.2423603793466807,0.7918861959957849,0.36941198640747397,0.38611111111111107,48,0.9041095890410958,0.3076923076923077,0.0,0.0,0.0
11.0,78.5,0.8125,0.6515151515151515,0.8421717171717172,0.4794394899833855,0.8134146341463415,48,0.9090909090909091,0.36363636363636365,0.3333333333333333,0.0,1.0
11.0,78.75,0.8541666666666666,0.7388257575757575,0.8860953282828282,0.5644397791790964,0.8817829457364341,48,0.925,0.36363636363636365,0.6666666666666666,0.0,1.0
11.0,79.0,0.8125,0.5611814345991561,0.8650668073136427,0.45496972207698094,0.7790697674418605,48,0.9113924050632911,0.3333333333333333,0.0,0.0,1.0
11.0,79.25,0.8333333333333334,0.5617283950617284,0.8600823045267489,0.43897362019533953,0.6317829457364341,48,0.9135802469135802,0.3333333333333333,0.0,0.0,1.0
11.0,79.5,0.8541666666666666,0.4546184738955823,0.8835341365461847,0.42643056555289754,0.560077519379845,48,0.9397590361445783,0.3333333333333333,0.0,0.0,1.0
11.0,79.75,0.8541666666666666,0.676923076923077,0.8878205128205129,0.601873254078923,0.9017857142857143,48,0.9230769230769231,0.46153846153846156,1.0,0.0,1.0
11.25,76.0,0.8333333333333334,0.685974025974026,0.846554834054834,0.6710943652414492,0.7323529411764705,48,0.9393939393939394,0.5,0.3333333333333333,0.8571428571428571,0.8
11.25,76.25,0.7916666666666666,0.5408219178082192,0.75699200913242,0.5305456863987081,0.4904761904761904,48,0.9041095890410958,0.4,0.5,0.4,0.5
11.25,76.5,0.7708333333333334,0.3225225225225225,0.7314189189189189,0.42794954127037105,0.3333333333333333,48,0.9459459459459459,0.0,0.0,0.0,0.6666666666666666
11.25,76.75,0.8333333333333334,0.5826839826839827,0.8332431457431458,0.518850067939259,0.5447368421052632,48,0.961038961038961,0.0,0.2857142857142857,1.0,0.6666666666666666
